scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev1,tpn2,24847,3657.80,80464.76,4879.00,1221.1999999999998,19.814629697830622
od1500k,vehev1,allgreen,27226,1532.47,59768.50,2752.00,1219.53,68.15911404766356
od1500k,vehev1,tpn2,22570,382.36,51446.69,1604.00,1221.6399999999999,74.3874174403494
od1500k,vehev2,tpn2,21907,6320.92,85367.17,7215.00,894.0799999999999,68.6675070351532
od1500k,vehev3,tpn2,27226,188.86,49052.50,921.00,732.14,80.68284101137387
od1500k,vehev1,tpn2,4771,2197.27,63181.01,3418.00,1220.73,20.650105269240083
od1500k,vehev3,allgreen,4771,829.22,52061.48,1561.00,731.78,48.50396830325538
od1500k,vehev1,no-preemption,2094,2024.05,65802.29,3245.00,1220.95,
od1500k,vehev3,tpn2,31737,107.13,42131.08,839.00,731.87,96.09375284864706
od1500k,vehev3,kapusta2,6479,960.49,48682.65,1692.00,731.51,69.9469333350021
od1500k,vehev1,kapusta2,20276,3169.91,63548.27,4392.00,1222.0900000000001,6.119578029580575
od1500k,vehev2,kapusta,21907,52335.08,338560.56,53231.00,895.9199999999983,-159.42244576971297
od1500k,vehev1,kapusta,20276,2914.86,74808.51,4137.00,1222.1399999999999,13.673168391311808
od1500k,vehev3,no-preemption,11718,1965.10,61960.44,2697.00,731.9000000000001,
od1500k,vehev2,allgreen,4771,14211.24,144810.08,15105.00,893.7600000000002,-49.30784359870899
od1500k,vehev1,tpn2,12837,1222.98,50933.02,2444.00,1221.02,60.63715424179418
od1500k,vehev2,allgreen,14368,38013.74,296333.40,38907.00,893.260000000002,-330.485230634034
od1500k,vehev1,tpn2,27548,259.71,55771.52,1481.00,1221.29,81.34803217466245
od1500k,vehev2,allgreen,22737,671.50,53327.07,1566.00,894.5,98.50629502664088
od1500k,vehev3,allgreen,6325,127.30,42641.94,858.00,730.7,98.65840844875974
od1500k,vehev1,no-preemption,24847,4561.68,83503.10,5782.00,1220.3199999999997,
od1500k,vehev2,allgreen,30616,1659.64,58044.14,2554.00,894.3599999999999,89.9523480583544
od1500k,vehev1,no-preemption,15239,2392.87,70713.18,3615.00,1222.13,
od1500k,vehev2,tpn2,25029,1077.97,55984.44,1972.00,894.03,70.87260327273513
od1500k,vehev2,tpn2,16250,296.78,46617.97,1190.00,893.22,92.1240492757777
od1500k,vehev1,allgreen,25029,241.19,50184.95,1463.00,1221.81,92.66235070063462
od1500k,vehev3,tpn2,6325,240.10,42737.81,971.00,730.9,97.46962976077937
od1500k,vehev2,kapusta2,15239,30717.09,187643.00,31611.00,893.9099999999999,-117.72600782243443
od1500k,vehev2,kapusta2,31737,13983.17,145381.75,14878.00,894.8299999999999,36.65367107966963
od1500k,vehev2,kapusta,10105,24160.72,156536.80,25055.00,894.2799999999988,-443.9459672426409
od1500k,vehev3,tpn2,15239,190.14,45249.81,922.00,731.86,89.41467270885062
od1500k,vehev2,tpn2,31737,2124.81,54412.49,3019.00,894.19,90.37422035538386
od1500k,vehev2,kapusta2,24847,42298.51,332621.53,43193.00,894.489999999998,-157.70592220540678
od1500k,vehev2,tpn,2094,11291.42,126795.21,12186.00,894.5799999999999,15.306706430255323
od1500k,vehev1,kapusta,22760,2360.22,69242.76,3581.00,1220.7800000000002,22.196363348672854
od1500k,vehev2,no-preemption,11718,34070.06,210682.47,34965.00,894.9400000000023,
od1500k,vehev2,no-preemption,16993,11717.67,121135.29,12612.00,894.3299999999999,
od1500k,vehev2,tpn2,30616,2490.05,65973.27,3385.00,894.9499999999998,84.92495015949567
od1500k,vehev2,no-preemption,21907,20173.69,147956.53,21068.00,894.3100000000013,
od1500k,vehev2,kapusta2,22760,28520.52,183022.73,29416.00,895.4799999999996,-255.85306480974316
od1500k,vehev1,kapusta2,12811,3391.90,67029.97,4613.00,1221.1,-41.7668718836073
od1500k,vehev1,kapusta,10105,994.56,42683.72,2215.00,1220.44,46.249006923164224
od1500k,vehev3,kapusta2,4771,1051.94,56637.57,1783.00,731.06,34.672661557760854
